
Rice,102.62175899199,105.19263173146,0.42933922148961,12–13,12,25,52.6,51.8,26.2,22,21.1,17.1,26.1,27.2,70.9,51.2,50.7,36,35.8,5.5,11,58.6,53.1,48.9,35.1,70.8,,,,2021,,,,-7.5270753153501,72.8,70.2
"Abilene Christian",100.92247286022,92.635091751462,0.72817300659068,19–4,19,23,52.9,45.4,34,42.5,19.4,26.7,30.6,27.9,71.6,50.8,46.3,37.7,29.1,8.9,10.1,66.9,48.3,36.5,34,70.8,,,,2021,,,,-1.0635884028481,68.8,69.1
Rider,99.739603937234,112.14112232204,0.2062391827365,6–17,6,23,48.3,53.3,29,36,18.3,17.2,26.2,26.7,68.6,46.2,53.6,35.3,35.3,6,8,50.4,53.6,31.2,40.1,68.9,,,,2021,,,,-14.009401379092,73.3,67.5
"Boston College",103.01225217239,102.3919117643,0.51735862889746,4–16,4,20,49.8,55.5,29.7,29.1,19.1,18.7,25.4,28.7,71.9,50.1,56.9,33,35.3,10,10.5,46,49.9,46.1,36.1,72.5,,,,2021,,,,-7.5267694455955,70.2,71.2
Arizona,114.8982507152,94.997958303831,0.89909443062019,17–9,17,26,50.5,49.2,41.8,32.4,17.2,18,34.3,24.4,68.3,48.1,48,37.2,34.1,11.2,7,60.4,46.3,31.4,36.7,69,,,,2021,,,,1.329193416479,72.7,70.6
"Penn St.",111.39274065792,95.915259171682,0.84817602166377,11–14,11,25,47.9,53,27.8,33.5,16.3,19.7,31.9,24.8,69.7,45.8,53.9,33.8,34.5,6.9,11.7,51.6,55.9,41.9,38.4,70,,,,2021,,,,-0.59735537711419,73.8,72.9
Hawaii,101.08753324509,103.77108733651,0.42523808065734,9–10,9,19,50.6,50.1,30.3,27.7,19.8,16.7,29.1,25.6,67.5,48.6,49.8,35.7,33.8,3.7,8,45.8,41.2,38.6,29.9,67.6,,,,2021,,,,-7.0334498194112,72.6,74.5
"San Diego",96.014910240314,99.080907872106,0.41060070764134,3–11,3,14,46.4,53.3,25.6,33.8,18.1,18.2,20.9,25.6,72.3,46.8,51.2,30.4,38.5,8.5,7.6,52.6,49,31.9,31.6,71.3,,,,2021,,,,-5.9091193975337,65,73
"UC Davis",96.286881960712,101.90839286024,0.34241841098022,9–8,9,17,48.2,53,36.4,40.6,20.4,23.4,26.9,27.6,70.4,48.3,52.6,31.9,35.8,7.8,8.9,44,53.1,31.3,34.8,70.4,,,,2021,,,,-5.6599684344251,77.5,72.3
LSU,118.94429951487,99.818083249907,0.88246867825514,18–9,18,27,52.8,48.5,33.9,29.1,16.1,18.4,31.5,32.8,72.8,53,51.3,35,30,7.8,9.1,42.3,50.7,37.1,44.3,71.4,,,,2021,,,,2.2596274749763,74.7,70.6
"St. Francis NY",100.21032402384,113.49480006375,0.19285157132069,9–10,9,19,49.5,52.7,30.7,39.1,16.3,19.9,30.2,30.3,73.6,49.4,50.4,33.1,38.1,8.9,9.2,50,52.1,29.3,34,73.4,,,,2021,,,,-8.7152147050959,73.5,73.9
"Fresno St.",98.974226504088,101.45687358831,0.42925168579839,10–12,10,22,48.8,51.3,36.8,33.6,21.5,18.9,30.5,25,66.1,48.7,49.9,32.6,35.8,7.7,10.2,45.5,46.3,39.7,37.2,66.3,,,,2021,,,,-6.1203945890973,66.9,74.5
UMKC,95.198776016152,100.11918775619,0.35903980556074,7–13,7,20,51.2,52.3,30.5,55.3,19.6,22.5,21.6,24.6,64.1,50.4,50.9,35.1,36.5,6.3,9.9,49.3,54,33.4,34.7,63.6,,,,2021,,,,-9.0236719629741,67.1,70.8
Baylor,123.34164986698,93.53403079007,0.96012359856634,22–2,22,24,57.5,49.1,27,31.7,17.6,24.6,37.5,30.9,70.2,54.1,48.1,41.8,34,10.3,10,54.8,51.7,39.2,34.3,69.6,,,,2021,,,,6.6911526149895,69.7,68.6
"Oral Roberts",107.51023593815,106.68830332582,0.52204996514427,13–10,13,23,53.6,50.4,27.8,33.1,15.7,18.2,23.2,33,72.8,49.7,49,38.8,35.6,9.6,9.4,42.6,44.3,45.9,32,72.3,,,,2021,,,,-4.9333222015975,82.6,70.2
Ohio,111.78780918507,100.96197649343,0.76339313582909,15–7,15,22,55.8,51.1,29.6,30.2,17,20,28.7,27.4,71.7,56.4,51.6,36.6,33.7,5.7,6.5,59.7,52.7,38.7,40,70.3,,,,2021,,,,-1.9932260371906,70.6,76.6
Winthrop,104.83823417406,96.064210803445,0.73206396270917,23–1,23,24,53,49,35.7,33.8,19.5,22.5,35.6,22.2,72.7,53,49.2,35.3,32.4,6.7,9,53.6,43.4,39.3,36.4,74.7,,,,2021,,,,0.99068309487517,68.6,66.2
"Northern Illinois",92.726478805666,110.47392568449,0.11774677941327,3–16,3,19,44.4,54.7,23.9,33.8,20.2,16.8,32.6,31.3,67.4,42.8,52,32.4,39,10.1,7.1,44.7,58.7,28.1,41.4,66.6,,,,2021,,,,-11.657045695091,61.5,73.5
"Georgia Tech",112.73024373804,95.621471074511,0.86908629580501,17–8,17,25,53.9,52.2,29,28.9,15.9,22.8,24.8,29.9,68,54.8,50.7,34.9,36.7,9.3,7.9,57.7,54.4,37,34.6,68.6,,,,2021,,,,1.8455235430195,72.7,70.6
"Kent St.",104.41710775326,100.11732310408,0.61859387362745,14–8,14,22,50.8,49.6,28.1,27.9,19.3,17.6,34.2,28.6,70.7,51.3,47.5,33.5,35.3,8.5,7,52.7,50.2,39.8,39.1,70.6,,,,2021,,,,-2.8439501964524,78.4,71
Marquette,107.46470691969,96.06681001801,0.7840395009263,13–14,13,27,50.6,47.7,35,30,20.9,15.9,29.1,28.3,68.4,51.9,45.8,32.3,33.9,9.9,9.3,50.4,54.2,37.4,37,68.8,,,,2021,,,,-2.20552546633,73.5,72.7
"Weber St.",106.02102362113,103.03874635036,0.58130226815625,14–6,14,20,56.4,49.9,36.8,32.2,17.2,18.9,22.4,24.5,71.5,57.3,48.3,36.6,35.2,7.9,6.6,49.8,52.1,36.9,35.3,72.7,,,,2021,,,,-3.1789655468856,77.9,72.2
Maine,81.019697417079,100.7471013256,0.075432143680647,2–7,2,9,45.1,48.7,27.2,30.9,25,20.8,23.8,30.5,65.3,43.4,50.2,31.5,30.9,13.5,7.6,62.8,51.4,44.9,39.1,66.1,,,,2021,,,,-5.6897641268405,56.9,70.2
"Sam Houston St.",99.732755317164,101.84188264334,0.44012279792625,15–9,15,24,50.4,48.5,30,39.5,20.3,22,29.3,32.7,73.4,49.1,50.3,34.8,30.3,8.3,8.9,53.4,55.7,41.2,36.4,71.9,,,,2021,,,,-4.3080116026826,70.8,71.7
"Incarnate Word",94.791020075057,111.25928818927,0.13679480990529,5–14,5,19,50.3,52.1,32.5,33.8,20.6,18.5,23,32.2,67.1,45.8,55.1,38.2,30.7,4,9.6,51.7,55.3,39.7,33.4,65.8,,,,2021,,,,-11.567572475023,69.9,69.9
"St. Francis PA",94.147992652904,106.99397148586,0.18680549068838,6–16,6,22,47.9,51.5,33.7,29.4,20.2,18.6,28.8,28.6,69.7,48.6,54.3,30.9,31.3,5.9,9.4,52.3,49.7,33,38.5,69.7,,,,2021,,,,-13.009876933379,71.4,71.8
SMU,107.94503711903,94.847572295804,0.81570836707049,11–5,11,16,51.4,46.3,31.3,35.4,20.1,20.2,30.5,29.1,70.8,51.8,43.4,33.9,34.1,12.7,11,56.7,59.2,37.5,38.4,70.5,,,,2021,,,,0.1726195802973,72.9,68.6
Richmond,109.74445437583,97.166848579316,0.80215797649371,12–8,12,20,53,52.4,30.8,28.9,15,21.3,19.5,27.9,70,53.9,54.8,34.3,32.2,6,7.5,53.4,46.3,35.4,36.4,70.2,,,,2021,,,,-1.5807485260551,73.8,68.1
Providence,107.64097872306,95.621943309774,0.79601792132723,13–13,13,26,48.3,48.6,31.6,30.1,17.2,16.8,29.1,29.9,67.2,48.5,50.6,32,29.7,7.7,8.6,53.3,48.8,33.6,33.8,67.7,,,,2021,,,,-2.0720235488582,70,69.9
Louisville,106.3382530631,94.46163862546,0.7960779974635,13–7,13,20,47.8,48.4,32.1,29.8,17.2,16.6,32,26.2,66,48.4,50.3,30.8,30.5,5.5,9,44.7,49.8,30.3,40.6,67,,,,2021,,,,1.2116979167086,71.7,66.2
Davidson,112.52371918939,100.76540299015,0.78061314966091,12–8,12,20,55.5,49.3,27.1,28.9,17.3,16.2,28.3,22.2,63.5,56.9,48.7,36,33.4,8.3,8.5,57.6,47.8,48.5,40.7,64.2,,,,2021,,,,-2.2703548221047,68,73.2
"North Florida",100.28839980446,112.68600047234,0.20744685990201,7–14,7,21,52.7,50.3,25.4,31.8,21.5,16.2,25.8,35.9,68.1,51.2,50.1,36.2,33.9,7.5,10.3,51.1,55.6,48,30.1,68.1,,,,2021,,,,-10.166293695799,72.2,73.2
"Missouri St.",106.12121817432,98.931138255341,0.69143074680472,15–7,15,22,54.2,47.5,30.6,28,18.2,14.2,23.8,22.2,68.2,55.2,46.4,35,33,7.7,7.6,50.7,42.4,38.6,33.9,69.9,,,,2021,,,,-2.6256727683039,75,69.6
Vanderbilt,107.50820405496,100.8679265115,0.67550366130041,9–16,9,25,51.2,52.1,32.9,33.7,19.9,19.8,28.3,28.6,69.6,50.2,52.9,34.9,33.8,7.3,14,52.2,52.6,47.1,37.3,69.4,,,,2021,,,,-6.0584211826763,73.6,71.4
